2015-07-16T11:44:58.170+0300 | GoEuro: | INFO  | (HttpCommunication.java:131) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T11:44:58.209+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T11:44:58.212+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T11:44:58.451+0300 | GoEuro: | INFO  | (HttpCommunication.java:133) | [main] | Response org.jboss.resteasy.client.jaxrs.ResteasyClient@65cea4cc 
2015-07-16T11:44:58.866+0300 | GoEuro: | INFO  | (HttpValidator.java:57) | [main] | Validating the response that came... 
2015-07-16T11:45:45.732+0300 | GoEuro: | INFO  | (GoEuroTest.java:59) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T11:45:45.734+0300 | GoEuro: | INFO  | (GoEuroTest.java:41) | [main] | Path param 1 
2015-07-16T11:45:45.734+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T11:45:45.760+0300 | GoEuro: | INFO  | (HttpCommunication.java:131) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T11:45:45.799+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T11:45:45.802+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T11:45:46.035+0300 | GoEuro: | INFO  | (HttpCommunication.java:133) | [main] | Response org.jboss.resteasy.client.jaxrs.ResteasyClient@3da3d36f 
2015-07-16T11:45:46.369+0300 | GoEuro: | INFO  | (HttpValidator.java:57) | [main] | Validating the response that came... 
2015-07-16T11:45:46.573+0300 | GoEuro: | INFO  | (GoEuroTest.java:48) | [main] | RESPONSE JSON : [{_id=444422, key=null, name=Testico, fullName=Testico, Italy, iata_airport_code=null, type=location, country=Italy, geo_position={latitude=44.00563, longitude=8.02925}, locationId=144029, inEurope=true, countryCode=IT, coreCountry=true, distance=null}, {_id=418225, key=null, name=Testorf-Steinfort, fullName=Testorf-Steinfort, Germany, iata_airport_code=null, type=location, country=Germany, geo_position={latitude=53.78333, longitude=11.26667}, locationId=117399, inEurope=true, countryCode=DE, coreCountry=true, distance=null}, {_id=379534, key=null, name=La Teste-de-Buch, fullName=La Teste-de-Buch, France, iata_airport_code=null, type=location, country=France, geo_position={latitude=44.62875, longitude=-1.14059}, locationId=11721, inEurope=true, countryCode=FR, coreCountry=false, distance=null}] 
2015-07-16T11:46:21.236+0300 | GoEuro: | INFO  | (GoEuroTest.java:59) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T11:46:21.238+0300 | GoEuro: | INFO  | (GoEuroTest.java:41) | [main] | Path param 1 
2015-07-16T11:46:21.238+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T11:46:21.268+0300 | GoEuro: | INFO  | (HttpCommunication.java:131) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T11:46:21.338+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
